VO_OVOCODE;VO_OP_BEGIN_DT nieuw (operationeel geldig vanaf)
OVO000002;1/01/2006
OVO000003;1/01/2006
OVO000028;1/01/2006
OVO045289;1/01/2006
OVO045350;1/01/2006
OVO045643;1/01/2006
OVO028710;1/01/2006
OVO000006;1/01/2006
OVO000292;1/01/2006
OVO003243;1/01/2006
OVO001983;1/01/2006
OVO048123;1/01/2006
OVO048124;1/01/2006
OVO001742;1/01/2006
OVO000119;1/01/2006
OVO001753;1/01/2006
OVO001748;1/01/2006
OVO001747;1/01/2006
OVO001612;1/01/2006
OVO001749;1/01/2006
OVO000007;1/01/2006
OVO041216;1/01/2006
OVO041217;1/01/2006
OVO041218;1/01/2006
OVO041219;1/01/2006
OVO041220;1/01/2006
OVO041221;1/01/2006
OVO041237;1/01/2006
OVO041239;1/01/2006
OVO041240;1/01/2006
OVO041241;1/01/2006
OVO000333;1/01/2006
OVO041268;1/01/2006
OVO037814;1/01/2006
OVO037815;1/01/2006
OVO041270;1/01/2006
OVO037790;1/01/2006
OVO037799;1/01/2006
OVO036506;1/01/2006
OVO041318;1/01/2006
OVO002304;1/01/2006
OVO000008;1/01/2006
OVO036470;1/01/2006
OVO036471;1/01/2006
OVO036473;1/01/2006
OVO036472;1/01/2006
OVO000366;1/01/2006
OVO041488;1/01/2006
OVO041489;1/01/2006
OVO041490;1/01/2006
OVO041491;1/01/2006
OVO000009;1/01/2006
OVO045190;1/01/2006
OVO028284;1/01/2006
OVO028282;1/01/2006
OVO000010;1/01/2006
OVO028864;1/01/2006
OVO039388;1/01/2006
OVO039391;1/01/2006
OVO039392;1/01/2006
OVO039393;1/01/2006
OVO039394;1/01/2006
OVO039395;1/01/2006
OVO038812;1/01/2006
OVO040274;1/01/2006
OVO000011;1/01/2006
OVO001823;1/01/2006
OVO000095;1/01/2006
OVO041723;1/01/2006
OVO001691;1/01/2006
OVO001692;1/01/2006
OVO041873;1/01/2006
OVO000684;1/01/2006
OVO000683;1/01/2006
OVO043119;1/01/2006
OVO002959;1/01/2006
OVO000523;1/01/2006
OVO000190;1/01/2006
OVO000194;1/01/2006
OVO042958;1/01/2006
OVO042958;1/01/2006
OVO042959;1/01/2006
OVO042960;1/01/2006
OVO042960;1/01/2006
OVO039573;1/01/2006
OVO043989;1/01/2006
OVO043992;1/01/2006
OVO043999;1/01/2006
OVO044000;1/01/2006
OVO044146;1/01/2006
OVO000099;1/01/2006
OVO000112;1/01/2006
OVO037187;1/01/2006
OVO038537;1/01/2006
OVO038538;1/01/2006
OVO038556;1/01/2006
OVO038561;1/01/2006
OVO038580;1/01/2006
OVO038641;1/01/2006
OVO038643;1/01/2006
OVO038644;1/01/2006
OVO038646;1/01/2006
OVO038648;1/01/2006
OVO038718;1/01/2006
OVO000219;1/01/2006
OVO001728;1/01/2006
OVO049314;1/01/2006
OVO046261;1/05/2007
OVO000028;1/01/2008
OVO000263;1/01/2008
OVO000037;1/06/2008
OVO000108;1/11/2008
OVO028287;1/01/2009
OVO000095;1/07/2009
OVO041723;1/08/2009
OVO001461;1/12/2009
OVO000111;1/01/2010
OVO048125;1/02/2010
OVO000751;15/02/2010
OVO028832;1/05/2010
OVO000684;1/10/2010
OVO000683;1/10/2010
OVO049320;1/10/2010
OVO001688;1/10/2010
OVO046264;18/10/2010
OVO043119;1/11/2010
OVO043120;1/11/2010
OVO038484;1/01/2011
OVO040420;1/01/2011
OVO040468;1/01/2011
OVO040630;1/01/2011
OVO049874;1/01/2011
OVO040708;1/01/2011
OVO001521;1/03/2011
OVO000752;1/03/2011
OVO000749;1/03/2011
OVO000755;1/03/2011
OVO000753;1/03/2011
OVO000750;1/03/2011
OVO000754;1/03/2011
OVO000747;1/03/2011
OVO000037;1/04/2011
OVO049315;1/04/2011
OVO043118;1/06/2011
OVO043126;1/06/2011
OVO000075;1/09/2011
OVO000603;1/12/2011
OVO038055;1/02/2012
OVO044942;1/02/2012
OVO044951;1/02/2012
OVO044958;1/02/2012
OVO036835;1/05/2012
OVO001461;1/08/2012
OVO041649;1/08/2012
OVO045289;1/03/2013
OVO044927;1/03/2013
OVO044929;1/03/2013
OVO044930;1/03/2013
OVO001538;1/11/2013
OVO041123;1/01/2014
OVO041141;1/01/2014
OVO041142;1/01/2014
OVO001529;1/01/2014
OVO001530;1/01/2014
OVO001526;1/01/2014
OVO001525;1/01/2014
OVO049334;1/01/2014
OVO049335;1/01/2014
